Product Id,Product Address,Name,Product Type,Yield Token Address,Cover Assets,Initial Price Ratio,Capacity Reduction Ratio,Is Deprecated,Use Fixed Price,Allowed Pools,IPFS Hash,IPFS data
,0xB27F1DB0a7e473304A5a06E54bdf035F671400C0,0x v3,Protocol,,,10%,0%,,,,,
,0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,1Inch (DEX & Liquidity Pools),Protocol,,,10%,0%,,,,,
,0x7d2768dE32b0b80b7a3454c06BdAc94A69DDc7A9,Aave v2,Protocol,,,10%,0%,,,,,
,0xd96f48665a1410c0cd669a88898eca36b9fc2cce,Abracadabra,Protocol,,,10%,0%,,,,,
,0x5C6374a2ac4EBC38DeA0Fc1F8716e5Ea1AdD94dd,Alchemix v2,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0xA625AB01B08ce023B2a342Dbb12a16f2C8489A8F,Alpaca Finance,Protocol,,,10%,0%,Yes,,,,
,0x0000000000000000000000000000000000000001,Anchor,Protocol,,,10%,0%,Yes,,,,
,0xfda462548ce04282f4b6d6619823a7c64fdc0185,Angle,Protocol,,,10%,0%,,,,,
,0xB1dD690Cc9AF7BB1a906A9B5A94F94191cc553Ce,Argent,Protocol,,,10%,0%,,,,,
,0x0000000000000000000000000000000000000031,Aura,Protocol,,,10%,0%,,,,,
,0x0000000000000000000000000000000000000020,Babylon Finance,Protocol,,,10%,0%,Yes,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0x6354E79F21B56C11f48bcD7c451BE456D7102A36,BadgerDAO,Protocol,,,10%,0%,,,,,
,0xBA12222222228d8Ba445958a75a0704d566BF2C8,Balancer v2,Protocol,,,10%,0%,,,,,
,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor v2,Protocol,,,10%,0%,Yes,,,,
,0x0000000000000000000000000000000000000022,Bancor v3,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Liquidity provider (LP) losses as a result of previously disclosed design issues, which include but is not limited to accumulated LP losses due to BNT pairs without IL protection"
,0x453D4Ba9a2D594314DF88564248497F7D74d6b2C,Beefy,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0xc57d000000000000000000000000000000000007,Binance,Custody,,,10%,0%,,,,,
,0xC57D000000000000000000000000000000000002,BlockFi,Custody,,,10%,0%,Yes,,,,
,0x0000000000000000000000000000000000000018,Bundle: Gelt + mStable + Aave v2 ,Protocol,,,10%,0%,,,,,
,0xc57D000000000000000000000000000000000001,Celsius,Custody,,,10%,0%,Yes,,,,
,0x0CED6166873038Ac0cc688e7E6d19E2cBE251Bf0,Centrifuge Tinlake,Protocol,,,10%,0%,,,,,
,0xc57D000000000000000000000000000000000008,Coinbase,Custody,,,10%,0%,,,,,
,0x3d9819210A31b4961b30EF54bE2aeD79B9c9Cd3B,Compound v2,Protocol,,,10%,0%,,,,,
